,mapping_rate,reads,ERCC_content,MT_content,num_genes,pass_qc,day,cell_type,batch,bgplvm_2d_0,bgplvm_2d_1,pseudotime,assignment_prob_0,assignment_prob_1,branchtime,day_int,scaled_pseudotime
1771-026-187-A4,58.3133,3896411.0,685794.140253,59413.87823840001,1189,True,0,CD4+ T cell,026-187,1.06693032015,0.398296800621,-1.1375375663898553,0.5003108774750258,0.4996891225249742,0.72,0,0.06181785811607542
1771-026-187-B4,63.5948,1879316.0,281506.607105,78675.27681950001,2628,True,0,CD4+ T cell,026-187,-0.422200980168,1.07757298783,1.7106932036553888,0.7565997496986859,0.2434002503013141,0.72,0,0.8407493845796402
1771-026-187-B9,66.6844,3033191.0,703131.95103,64653.0789279,1119,True,0,CD4+ T cell,026-187,1.16741050889,0.5686297936460001,-1.1511856702821184,0.5013556486510896,0.4986443513489104,0.72,0,0.058085387239790016
1771-026-187-C11,64.1202,5069762.0,664498.9781770001,68749.863388,1156,True,0,CD4+ T cell,026-187,1.21811425682,0.627905942086,-1.1504846507852686,0.501796021667546,0.498203978332454,0.72,0,0.05827710140582763
1771-026-187-D10,74.9924,4732249.0,699369.3712180001,65849.52084580001,943,True,0,CD4+ T cell,026-187,1.19159527373,0.220917622247,-1.0320443508054304,0.5017573688525916,0.4982426311474084,0.72,0,0.0906680455064113
1771-026-187-D9,52.2585,4878070.0,747463.901986,105278.87970599999,898,True,0,CD4+ T cell,026-187,1.5014912507799998,0.351352498394,-0.9884083188602328,0.4995310492602978,0.5004689507397022,0.72,0,0.10260158731396143
1771-026-187-E6,69.9208,3324522.0,489581.61714,33484.509412700005,1728,True,0,CD4+ T cell,026-187,0.49783239576300004,0.8672187216159999,-1.334500534447515,0.5121668828741699,0.4878331171258301,0.72,0,0.007952607105002993
1771-026-187-F5,69.4331,3788849.0,697682.176844,103576.041047,1096,True,0,CD4+ T cell,026-187,1.1606197550700001,0.520900251544,-1.1419366739769206,0.5009870168467395,0.4990129831532605,0.72,0,0.06061479422676291
1771-026-187-F9,67.3103,3062853.0,637335.4154,132345.79636900002,1244,True,0,CD4+ T cell,026-187,0.9980918683299999,0.583781384104,-1.1983193197301023,0.5016610042813718,0.4983389957186282,0.72,0,0.04519532022048965
1771-026-187-G1,34.3492,4346273.0,635036.5687109999,99055.793766,1309,True,0,CD4+ T cell,026-187,1.01986204783,0.822335975098,-1.227747952022368,0.5065293080047024,0.4934706919952975,0.72,0,0.037147204978484415
1771-026-187-G12,62.0582,3988194.0,335118.5102,49241.4745149,2469,True,0,CD4+ T cell,026-187,-0.324545017113,1.11712462902,1.7543899597468664,0.7701288334021859,0.2298711665978141,0.72,0,0.8526995331707601
1771-026-187-G3,78.0118,2320678.0,683700.0401,26453.673532099998,1202,True,0,CD4+ T cell,026-187,1.06058828123,0.900809023969,-1.2280443863713717,0.5081779265655285,0.4918220734344715,0.72,0,0.03706613638587103
1771-026-187-G5,65.2906,3794215.0,593950.7999,14941.6655807,1574,True,0,CD4+ T cell,026-187,0.931189485188,0.652225928698,-1.2259519894631596,0.502975310509088,0.4970246894909121,0.72,0,0.03763836316427051
1771-026-187-G9,55.7448,3118288.0,768093.333,173899.878784,1134,True,0,CD4+ T cell,026-187,1.3364473144,0.457370400424,-1.0737648537193478,0.5004276142335916,0.4995723857664085,0.72,0,0.07925836081325385
1771-026-187-H1,49.82899999999999,2778373.0,646519.95315,63025.4332793,1361,True,0,CD4+ T cell,026-187,1.07512202071,0.781515046171,-1.2105546750110376,0.5051472039815506,0.4948527960184495,0.72,0,0.04184920653263999
1771-026-187-H7,73.2487,3048666.0,560430.1465,26946.2406047,1666,True,0,CD4+ T cell,026-187,0.5694548972300001,0.920106239461,-1.322964819101022,0.5136647232269941,0.486335276773006,0.72,0,0.01110738390827102
1771-026-190-A2,80.6488,4211333.0,870274.750868,77140.3254927,767,True,2,CD4+ T cell,026-190,1.52797381564,-0.0260405808895,-0.8112753948824275,0.4996364123687602,0.5003635876312397,0.72,1,0.1510437361426516
1771-026-190-A4,85.3857,3476317.0,656533.520082,70454.78791239999,981,True,2,CD4+ T cell,026-190,0.9379808708759999,-1.44647233349,-0.21786122799258867,0.5044921260338117,0.4955078739661883,0.72,1,0.3133300956967492
1771-026-190-A6,71.6388,3462600.0,766819.97283,24441.6651143,888,True,2,CD4+ T cell,026-190,1.18290417851,-1.37857995434,-0.2924735371652488,0.4985503297604576,0.5014496702395425,0.72,1,0.29292519013640783
